,over,ball,batting_team,bowling_team,venue,inning,match_type,total_runs,is_wicket,runs,wickets,winner
0,0,1,5,11,18,1,3,1,0,1,0,5
1,0,2,5,11,18,1,3,0,0,1,0,5
2,0,3,5,11,18,1,3,1,0,2,0,5
3,0,4,5,11,18,1,3,0,0,2,0,5
4,0,5,5,11,18,1,3,0,0,2,0,5
5,0,6,5,11,18,1,3,0,0,2,0,5
6,0,7,5,11,18,1,3,1,0,3,0,5
7,1,1,5,11,18,1,3,0,0,3,0,5
8,1,2,5,11,18,1,3,4,0,7,0,5
9,1,3,5,11,18,1,3,4,0,11,0,5
10,1,4,5,11,18,1,3,6,0,17,0,5
11,1,5,5,11,18,1,3,4,0,21,0,5
12,1,6,5,11,18,1,3,0,0,21,0,5
13,2,1,5,11,18,1,3,0,0,21,0,5
14,2,2,5,11,18,1,3,0,0,21,0,5
15,2,3,5,11,18,1,3,1,0,22,0,5
16,2,4,5,11,18,1,3,4,0,26,0,5
17,2,5,5,11,18,1,3,1,0,27,0,5
18,2,6,5,11,18,1,3,0,0,27,0,5
19,3,1,5,11,18,1,3,5,0,32,0,5
20,3,2,5,11,18,1,3,6,0,38,0,5
21,3,3,5,11,18,1,3,1,0,39,0,5
22,3,4,5,11,18,1,3,4,0,43,0,5
23,3,5,5,11,18,1,3,0,0,43,0,5
24,3,6,5,11,18,1,3,1,0,44,0,5
25,3,7,5,11,18,1,3,6,0,50,0,5
26,4,1,5,11,18,1,3,4,0,54,0,5
27,4,2,5,11,18,1,3,1,0,55,0,5
28,4,3,5,11,18,1,3,4,0,59,0,5
29,4,4,5,11,18,1,3,0,0,59,0,5
30,4,5,5,11,18,1,3,1,0,60,0,5
31,4,6,5,11,18,1,3,0,0,60,0,5
32,5,1,5,11,18,1,3,1,0,61,0,5
33,5,2,5,11,18,1,3,0,1,61,1,5
34,5,3,5,11,18,1,3,0,0,61,1,5
35,5,4,5,11,18,1,3,0,0,61,1,5
36,5,5,5,11,18,1,3,0,0,61,1,5
37,5,6,5,11,18,1,3,0,0,61,1,5
38,6,1,5,11,18,1,3,1,0,62,1,5
39,6,2,5,11,18,1,3,1,0,63,1,5
40,6,3,5,11,18,1,3,1,0,64,1,5
41,6,4,5,11,18,1,3,2,0,66,1,5
42,6,5,5,11,18,1,3,1,0,67,1,5
43,6,6,5,11,18,1,3,1,0,68,1,5
44,7,1,5,11,18,1,3,0,0,68,1,5
45,7,2,5,11,18,1,3,1,0,69,1,5
46,7,3,5,11,18,1,3,1,0,70,1,5
47,7,4,5,11,18,1,3,1,0,71,1,5
48,7,5,5,11,18,1,3,1,0,72,1,5
49,7,6,5,11,18,1,3,1,0,73,1,5
50,8,1,5,11,18,1,3,0,0,73,1,5
51,8,2,5,11,18,1,3,0,0,73,1,5
52,8,3,5,11,18,1,3,0,0,73,1,5
53,8,4,5,11,18,1,3,1,0,74,1,5
54,8,5,5,11,18,1,3,1,0,75,1,5
55,8,6,5,11,18,1,3,2,0,77,1,5
56,9,1,5,11,18,1,3,1,0,78,1,5
57,9,2,5,11,18,1,3,1,0,79,1,5
58,9,3,5,11,18,1,3,1,0,80,1,5
59,9,4,5,11,18,1,3,0,0,80,1,5
60,9,5,5,11,18,1,3,6,0,86,1,5
61,9,6,5,11,18,1,3,1,0,87,1,5
62,10,1,5,11,18,1,3,1,0,88,1,5
63,10,2,5,11,18,1,3,4,0,92,1,5
64,10,3,5,11,18,1,3,0,0,92,1,5
65,10,4,5,11,18,1,3,6,0,98,1,5
66,10,5,5,11,18,1,3,0,0,98,1,5
67,10,6,5,11,18,1,3,4,0,102,1,5
68,11,1,5,11,18,1,3,0,0,102,1,5
69,11,2,5,11,18,1,3,6,0,108,1,5
70,11,3,5,11,18,1,3,2,0,110,1,5
71,11,4,5,11,18,1,3,1,0,111,1,5
72,11,5,5,11,18,1,3,0,0,111,1,5
73,11,6,5,11,18,1,3,1,0,112,1,5
74,12,1,5,11,18,1,3,0,1,112,2,5
75,12,2,5,11,18,1,3,4,0,116,2,5
76,12,3,5,11,18,1,3,0,0,116,2,5
77,12,4,5,11,18,1,3,2,0,118,2,5
78,12,5,5,11,18,1,3,1,0,119,2,5
79,12,6,5,11,18,1,3,4,0,123,2,5
80,12,7,5,11,18,1,3,1,0,124,2,5
81,13,1,5,11,18,1,3,1,0,125,2,5
82,13,2,5,11,18,1,3,0,0,125,2,5
83,13,3,5,11,18,1,3,1,0,126,2,5
84,13,4,5,11,18,1,3,1,0,127,2,5
85,13,5,5,11,18,1,3,1,0,128,2,5
86,13,6,5,11,18,1,3,2,0,130,2,5
87,14,1,5,11,18,1,3,4,0,134,2,5
88,14,2,5,11,18,1,3,1,0,135,2,5
89,14,3,5,11,18,1,3,6,0,141,2,5
90,14,4,5,11,18,1,3,4,0,145,2,5
91,14,5,5,11,18,1,3,2,0,147,2,5
92,14,6,5,11,18,1,3,1,0,148,2,5
93,14,7,5,11,18,1,3,6,0,154,2,5
94,15,1,5,11,18,1,3,0,0,154,2,5
95,15,2,5,11,18,1,3,1,0,155,2,5
96,15,3,5,11,18,1,3,2,0,157,2,5
97,15,4,5,11,18,1,3,0,0,157,2,5
98,15,5,5,11,18,1,3,1,0,158,2,5
99,15,6,5,11,18,1,3,0,0,158,2,5
100,16,1,5,11,18,1,3,1,0,159,2,5
101,16,2,5,11,18,1,3,2,0,161,2,5
102,16,3,5,11,18,1,3,1,0,162,2,5
103,16,4,5,11,18,1,3,6,0,168,2,5
104,16,5,5,11,18,1,3,2,0,170,2,5
105,16,6,5,11,18,1,3,2,0,172,2,5
106,17,1,5,11,18,1,3,0,1,172,3,5
107,17,2,5,11,18,1,3,1,0,173,3,5
108,17,3,5,11,18,1,3,0,0,173,3,5
109,17,4,5,11,18,1,3,1,0,174,3,5
110,17,5,5,11,18,1,3,4,0,178,3,5
111,17,6,5,11,18,1,3,1,0,179,3,5
112,18,1,5,11,18,1,3,6,0,185,3,5
113,18,2,5,11,18,1,3,0,0,185,3,5
114,18,3,5,11,18,1,3,6,0,191,3,5
115,18,4,5,11,18,1,3,4,0,195,3,5
116,18,5,5,11,18,1,3,1,0,196,3,5
117,18,6,5,11,18,1,3,4,0,200,3,5
118,19,1,5,11,18,1,3,6,0,206,3,5
119,19,2,5,11,18,1,3,6,0,212,3,5
120,19,3,5,11,18,1,3,2,0,214,3,5
121,19,4,5,11,18,1,3,0,0,214,3,5
122,19,5,5,11,18,1,3,2,0,216,3,5
123,19,6,5,11,18,1,3,6,0,222,3,5
124,0,1,11,5,18,2,3,1,0,1,0,5
125,0,2,11,5,18,2,3,1,0,2,0,5
126,0,3,11,5,18,2,3,0,0,2,0,5
127,0,4,11,5,18,2,3,1,0,3,0,5
128,0,5,11,5,18,2,3,1,0,4,0,5
129,0,6,11,5,18,2,3,0,0,4,0,5
130,0,7,11,5,18,2,3,0,0,4,0,5
131,1,1,11,5,18,2,3,0,1,4,1,5
132,1,2,11,5,18,2,3,0,0,4,1,5
133,1,3,11,5,18,2,3,4,0,8,1,5
134,1,4,11,5,18,2,3,1,0,9,1,5
135,1,5,11,5,18,2,3,0,0,9,1,5
136,1,6,11,5,18,2,3,0,0,9,1,5
137,2,1,11,5,18,2,3,0,0,9,1,5
138,2,2,11,5,18,2,3,0,1,9,2,5
139,2,3,11,5,18,2,3,1,0,10,2,5
140,2,4,11,5,18,2,3,0,0,10,2,5
141,2,5,11,5,18,2,3,1,0,11,2,5
142,2,6,11,5,18,2,3,0,0,11,2,5
143,2,7,11,5,18,2,3,1,0,12,2,5
144,3,1,11,5,18,2,3,2,0,14,2,5
145,3,2,11,5,18,2,3,1,0,15,2,5
146,3,3,11,5,18,2,3,0,0,15,2,5
147,3,4,11,5,18,2,3,1,0,16,2,5
148,3,5,11,5,18,2,3,0,0,16,2,5
149,3,6,11,5,18,2,3,0,0,16,2,5
150,4,1,11,5,18,2,3,1,0,17,2,5
151,4,2,11,5,18,2,3,1,0,18,2,5
152,4,3,11,5,18,2,3,0,0,18,2,5
153,4,4,11,5,18,2,3,6,0,24,2,5
154,4,5,11,5,18,2,3,0,1,24,3,5
155,4,6,11,5,18,2,3,0,0,24,3,5
156,5,1,11,5,18,2,3,0,0,24,3,5
157,5,2,11,5,18,2,3,0,1,24,4,5
158,5,3,11,5,18,2,3,0,0,24,4,5
159,5,4,11,5,18,2,3,1,0,25,4,5
160,5,5,11,5,18,2,3,1,0,26,4,5
161,5,6,11,5,18,2,3,0,0,26,4,5
162,6,1,11,5,18,2,3,0,0,26,4,5
163,6,2,11,5,18,2,3,0,0,26,4,5
164,6,3,11,5,18,2,3,1,0,27,4,5
165,6,4,11,5,18,2,3,1,0,28,4,5
166,6,5,11,5,18,2,3,1,0,29,4,5
167,6,6,11,5,18,2,3,0,0,29,4,5
168,6,7,11,5,18,2,3,0,0,29,4,5
169,6,8,11,5,18,2,3,4,0,33,4,5
170,7,1,11,5,18,2,3,1,0,34,4,5
171,7,2,11,5,18,2,3,1,0,35,4,5
172,7,3,11,5,18,2,3,1,0,36,4,5
173,7,4,11,5,18,2,3,2,0,38,4,5
174,7,5,11,5,18,2,3,0,1,38,5,5
175,7,6,11,5,18,2,3,0,0,38,5,5
176,8,1,11,5,18,2,3,0,0,38,5,5
177,8,2,11,5,18,2,3,0,1,38,6,5
178,8,3,11,5,18,2,3,0,0,38,6,5
179,8,4,11,5,18,2,3,1,0,39,6,5
180,8,5,11,5,18,2,3,1,0,40,6,5
181,8,6,11,5,18,2,3,1,0,41,6,5
182,8,7,11,5,18,2,3,2,0,43,6,5
183,8,8,11,5,18,2,3,0,1,43,7,5
184,9,1,11,5,18,2,3,1,0,44,7,5
185,9,2,11,5,18,2,3,0,0,44,7,5
186,9,3,11,5,18,2,3,0,0,44,7,5
187,9,4,11,5,18,2,3,1,0,45,7,5
188,9,5,11,5,18,2,3,1,0,46,7,5
189,9,6,11,5,18,2,3,4,0,50,7,5
190,9,7,11,5,18,2,3,1,0,51,7,5
191,10,1,11,5,18,2,3,0,0,51,7,5
192,10,2,11,5,18,2,3,0,0,51,7,5
193,10,3,11,5,18,2,3,0,0,51,7,5
194,10,4,11,5,18,2,3,1,0,52,7,5
195,10,5,11,5,18,2,3,4,0,56,7,5
196,10,6,11,5,18,2,3,0,0,56,7,5
197,11,1,11,5,18,2,3,1,1,57,8,5
198,11,2,11,5,18,2,3,0,0,57,8,5
199,11,3,11,5,18,2,3,0,0,57,8,5
200,11,4,11,5,18,2,3,1,0,58,8,5
201,11,5,11,5,18,2,3,0,0,58,8,5
202,11,6,11,5,18,2,3,1,0,59,8,5
203,12,1,11,5,18,2,3,6,0,65,8,5
204,12,2,11,5,18,2,3,2,0,67,8,5
205,12,3,11,5,18,2,3,1,0,68,8,5
206,12,4,11,5,18,2,3,1,0,69,8,5
207,12,5,11,5,18,2,3,0,0,69,8,5
208,12,6,11,5,18,2,3,0,0,69,8,5
209,12,7,11,5,18,2,3,1,0,70,8,5
210,13,1,11,5,18,2,3,0,1,70,9,5
211,13,2,11,5,18,2,3,1,0,71,9,5
212,13,3,11,5,18,2,3,0,0,71,9,5
213,13,4,11,5,18,2,3,0,0,71,9,5
214,13,5,11,5,18,2,3,0,0,71,9,5
215,13,6,11,5,18,2,3,6,0,77,9,5
216,14,1,11,5,18,2,3,1,0,78,9,5
217,14,2,11,5,18,2,3,0,0,78,9,5
218,14,3,11,5,18,2,3,0,0,78,9,5
219,14,4,11,5,18,2,3,1,0,79,9,5
220,14,5,11,5,18,2,3,1,0,80,9,5
